year,yield_bushels_per_acre
1866,24.3
1867,24.7
1868,26.2
1869,21.8
1870,29.3
1871,27.2
1872,29.4
1873,22.9
1874,22.2
1875,27.7
1876,26.7
1877,25.8
1878,26.2
1879,28.2
1880,27.3
1881,19.8
1882,26.5
1883,24.2
1884,28.3
1885,28.6
1886,24.1
1887,21.9
1888,29.1
1889,29.5
1890,22.1
1891,29.6
1892,24.7
1893,23.8
1894,20.2
1895,28.0
1896,30.0
1897,25.4
1898,26.8
1899,28.0
1900,28.1
1901,18.2
1902,28.5
1903,26.9
1904,28.2
1905,30.9
1906,31.7
1907,27.2
1908,26.9
1909,26.1
1910,27.9
1911,24.4
1912,29.1
1913,22.7
1914,25.8
1915,28.1
1916,24.1
1917,26.2
1918,23.9
1919,26.8
1920,29.9
1921,27.8
1922,26.3
1923,27.8
1924,22.1
1925,27.4
1926,25.7
1927,26.4
1928,26.3
1929,25.7
1930,20.5
1931,24.5
1932,26.5
1933,22.8
1934,18.7
1935,24.2
1936,18.6
1937,28.9
1938,27.8
1939,29.9
1940,28.9
1941,31.2
1942,35.4
1943,32.6
1944,33.0
1945,33.1
1946,37.2
1947,28.6
1948,43.0
1949,38.2
1950,38.2
1951,36.9
1952,41.8
1953,40.7
1954,39.4
1955,42.0
